#T	S	Runtime		Speedup		Efficiency	Percent
1	10000	0.001120	1.0		1.0		0
2	5000	0.002061	0.543426	0.271713	-84.017857
2	3333	0.002711	0.413132	0.206566	-142.053571
2	2500	0.002453	0.456584	0.228292	-119.017857
2	2000	0.001796	0.623608	0.311804	-60.357143
2	1250	0.003995	0.280350	0.140175	-256.696429
2	1000	0.047491	0.023583	0.011791	-4140.267857
2	500	0.043325	0.025851	0.012925	-3768.303571
3	5000	0.005253	0.213211	0.071070	-369.017857
3	3333	0.002376	0.471380	0.157127	-112.142857
3	2500	0.018461	0.060668	0.020223	-1548.303571
3	2000	0.003638	0.307861	0.102620	-224.821429
3	1250	0.001820	0.615385	0.205128	-62.500000
3	1000	0.002427	0.461475	0.153825	-116.696429
3	500	0.002749	0.407421	0.135807	-145.446429
4	5000	0.004186	0.267559	0.066890	-273.750000
4	3333	0.008141	0.137575	0.034394	-626.875000
4	2500	0.001787	0.626749	0.156687	-59.553571
4	2000	0.003348	0.334528	0.083632	-198.928571
4	1250	0.001972	0.567951	0.141988	-76.071429
4	1000	0.001983	0.564801	0.141200	-77.053571
4	500	0.002860	0.391608	0.097902	-155.357143
8	5000	0.008588	0.130415	0.016302	-666.785714
8	3333	0.003200	0.350000	0.043750	-185.714286
8	2500	0.003328	0.336538	0.042067	-197.142857
8	2000	0.003842	0.291515	0.036439	-243.035714
8	1250	0.010094	0.110957	0.013870	-801.250000
8	1000	0.002456	0.456026	0.057003	-119.285714
8	500	0.004286	0.261316	0.032664	-282.678571
